ID	Cat. Number	Location	Country	Town	Permalink	Digital Library	Support	Date	Pages	Size	Title	Note	Genre	IIIF Manifest
ERC HSM 21	HSM 21	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/21/HSM-#-21	Institute of Archaeology and Ethnography NAS RA	Paper	1735	18 pages	19 x 13 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 22	HSM 22	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/22/HSM-#-22	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799		136 x 3,5 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 23	HSM 23	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/23/HSM-#-23	Institute of Archaeology and Ethnography NAS RA	Paper	1745		85 x 4,5 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 24	HSM 24	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/24/HSM-#-24	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799	92 pages	5,1 cm	Ախտարք	Ms.	Magic	
ERC HSM 25	HSM 25	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/25/HSM-#-25	Institute of Archaeology and Ethnography NAS RA						Ms.		
ERC HSM 26	HSM 26	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/26/HSM-#-26	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799 ?		78 x 4,4 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 27	HSM 27	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/27/HSM-#-27	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799 ?		9 x 4,5 cm	Ախտարք	Ms.	Magic	
ERC HSM 28	HSM 28	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/28/HSM-#-28	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799 ?		9,5 x 4,6 cm	Magic scroll - հմայիլ ախտարք	Ms.	Magic	
ERC HSM 29	HSM 29	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/29/HSM-#-29	Institute of Archaeology and Ethnography NAS RA	Paper	1743		6 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 30	HSM 30	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/30/HSM-#-30	Institute of Archaeology and Ethnography NAS RA	Paper			422 x 3,9 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 31	HSM 31	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/31/HSM-#-31	Institute of Archaeology and Ethnography NAS RA	Paper	1852		490 x 4,6 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 32	HSM 32	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/32/HSM-#-32	Institute of Archaeology and Ethnography NAS RA	Paper	1844	29 pages	10 x 8 cm	Gospel the All-Savior Urbatagirk (The Book of Friday)	Inc.	Magic	
ERC HSM 33	HSM 33	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/33/HSM-#-33	Institute of Archaeology and Ethnography NAS RA	Paper	1449	65 pages	28 x 18 cm	Gospel - Ավետարան	Ms.	Bible	
ERC HSM 34	HSM 34	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/34/HSM-#-34	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799 ?		357 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 35	HSM 35	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/35/HSM-#-35	Institute of Archaeology and Ethnography NAS RA	Paper	1700-1799 ?		232 x 5,7 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 36	HSM 36	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/36/HSM-#-36	Institute of Archaeology and Ethnography NAS RA						Ms.		
P1	Ms 1	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100933677	Gallica	Parchment	1000-1199	10 feuillets	12.8 x 18.5 cm	Bible. A.T.. Isaïe	Frag.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100933677/manifest.json
P2	Ms 2	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100884921	Gallica	Paper	1400-1499	197 folios	17,0 x 24,5 cm	Psautier	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100884921/manifest.json
P3	Ms 3	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10086159p	Gallica	Paper	1290-1300	336 folios	16,3 x 25,7 cm	Pentécostaire	Ms.	Liturgy	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10086159p/manifest.json
P5	Ms 5	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100883342	Gallica	Paper	1290-1300	366 folios	16,0 x 25,7 cm	Pentécostaire	Ms.	Liturgy	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100883342/manifest.json
P7	Ms 7	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10086156b	Gallica	Paper	1600-1699	128 folios	7,0 x 10,4 cm	Psautier	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10086156b/manifest.json
P9	Ms 9	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100884387	Gallica	Paper	1617	117 folios	19,0 x 26,2 cm	Recueil	Ms.	Miscellaneous	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100884387/manifest.json
P10	Ms 10	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100886541	Gallica	Paper	1682	142 folios	14,8 x 19,0 cm	Psautier	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100886541/manifest.json
P12	Ms 12	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100885608	Gallica	Parchment	mid 1500-1599	273 folios	6,7 x 10 cm	Psautier	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100885608/manifest.json
P14	Ms 14	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100885464	Gallica	Paper	1689	116 folios	16,5 x 22,5 cm	Psautier, vocabularium-armenicum	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100885464/manifest.json
P15	Ms 15	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100861602	Gallica	Parchment, Paper	1000-1099	126 folios	30,0 x 36,0 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100861602/manifest.json
P16	Ms 16	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10087140k	Gallica	Parchment	1000-1099	218 folios	28,0 x 35,2 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10087140k/manifest.json
P17	Ms 17	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100882371	Gallica	Parchment	1356	331 folios	13,5 x 20,5 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100882371/manifest.json
P18	Ms 18	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100873785	Gallica	Paper	1456	313 folios	15,0 x 20,5 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100873785/manifest.json
P19	Ms 19	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10087379m	Gallica	Paper	1295	319 folios	16,0 x 24,0 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10087379m/manifest.json
P20	Ms 20	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10086154f	Gallica	Parchment	1356	214 folios	7,5 x 11,0 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10086154f/manifest.json
P21	Ms 21	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b100873800	Gallica	Parchment	1500-1599	293 folios	10,0 x 14,0 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b100873800/manifest.json
P22	Ms 22	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10087381f	Gallica	Parchment	1600-1699	204 folios	6,7 x 9,8 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10087381f/manifest.json
P23	Ms 23	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10087382w	Gallica	Paper	1400-1499	242 folios	16,5 x 24,5 cm	Évangiles	Ms.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10087382w/manifest.json
P24	Ms 24	Bibliothèque Nationale de France	France	Paris	https://gallica.bnf.fr/ark:/12148/btv1b10088561q	Gallica	Parchment	1600-1699	43 folios	6,0 x 10,5 cm	Evangile selon Matthieu	Frag.	Bible	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10088561q/manifest.json
